LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID4183,4183,0,31.0,68.22222222222223,32.63333333333333,0.0,176.0,176,3.0901936161855166,1,,130.5483870967742,122.0,58.0,206.0,4047.0,44.46334723468115,0.8039359412803324,2.6169756764764123,-0.022393871319757157,0.062364761666851565,3.88035221341505,2.7645720155989646,1.166817410484144,1.4035996137992968,30.0,21.36505818199175,0.8258914289659688,0.9836065573770492,3.9007081028957318
ID4184,4184,0,36.0,68.7952380952381,33.99523809523809,0.0,177.0,177,3.3377905890622728,1,,119.13888888888889,126.0,55.0,207.0,4289.0,47.25139621687855,0.8379440591119737,2.2990670261997903,0.1460492711949732,0.08126105220174444,3.8052937043390656,3.2722065952192914,0.9718399723705977,1.1629136466806884,35.0,22.53663105724556,0.8659641605903147,0.9859154929577465,3.8093859250555826
ID4185,4185,0,38.0,69.56837606837607,35.55128205128205,0.0,178.0,178,3.523362819972964,1,,139.48717948717947,138.0,56.0,216.0,5440.0,50.82315665483277,0.8463627107138816,2.5161825887527143,-0.07637820496385037,-0.05709586562266721,4.325033933474545,3.239346947982806,1.3851060291124009,1.3351561295920507,39.0,23.570276154045427,0.8821554658851037,0.9999999999999998,3.7742648052233636
ID4186,4186,0,37.0,70.19047619047619,36.75714285714286,0.0,179.0,179,3.3377905890622728,1,,111.91428571428571,102.0,51.0,195.0,3917.0,42.65206113809426,0.7879041460631419,2.3126220071460417,-0.2160053942637757,-0.24134574658369828,4.990172827187735,2.8178482092678343,0.8049094294320284,1.7709161234360238,35.0,23.67288210210221,0.7848300767316732,0.9859154929577465,4.001447406055647
ID4190,4190,0,45.0,70.36296296296297,38.492592592592594,0.0,180.0,180,3.78469878303024,1,,138.35555555555555,133.0,40.0,222.0,6226.0,57.318153381548406,0.8768086816720256,2.255377510394279,-0.023603176581457885,0.09578293354244713,4.2974179478345285,3.597834193791381,1.122864279075894,1.1944458016576716,44.99999999999999,25.367940615362592,0.8787229173286031,0.9677419354838708,3.7816293110085737
ID4187,4187,0,48.0,70.59722222222221,39.3125,0.0,181.0,181,3.9088200952233594,1,,128.875,131.0,55.0,213.0,6186.0,42.70912254935906,0.8576576576576577,2.7862899749923766,-0.15402146382051124,0.2110850581032968,5.2358245014856575,3.499412601352318,1.2493592506891977,1.4962009622592998,48.0,28.07102476054369,0.7654812666848536,0.9411764705882353,4.051703425482137
ID4188,4188,0,47.0,70.95421245421245,41.04578754578755,0.0,182.0,182,3.805666803775979,1,,116.4,119.0,51.0,185.0,5238.0,36.777216267189615,0.8313700177505244,2.8735739680312444,0.14029365094917237,0.13377820443874902,5.3787054435598645,3.0059710460513056,1.1511416589412167,1.7893404032036246,45.5,27.436172702835822,0.7595811957500338,0.9381443298969072,4.0674088535546025
ID4189,4189,0,37.0,70.88967136150235,45.551643192488264,0.0,183.0,183,3.361547405514991,1,,102.4,90.0,45.0,175.0,3584.0,38.689715915822624,0.7660032710961411,2.296008713940963,-0.05848189013186047,-0.11235751278405548,4.463947130328608,2.7708404277771996,1.4225066730945428,1.6110444634697487,35.5,23.122417494872465,0.8343950905854955,1.0,3.8807803440900406
ID4193,4193,0,36.0,72.13470319634703,47.23059360730594,0.0,184.0,184,3.4085643379153576,1,,112.27027027027027,97.0,38.0,208.0,4154.0,49.696662445865094,0.7673882761608536,1.961781933921792,0.08817414047383008,-0.04253147788953959,4.381553934373608,2.8889831255437977,1.416259900144614,1.5166422730658426,36.5,23.436172702835826,0.8350824353744357,0.9864864864864865,3.8791829070338006
ID4191,4191,0,39.0,72.32683982683983,50.404761904761905,0.0,185.0,185,3.500704303147574,1,,114.56410256410257,104.0,52.0,204.0,4468.0,44.682973839563296,0.7763481278010698,2.2411189662402036,0.06306643021403013,0.22563756342366542,4.753357275785084,2.997418318849578,1.3850560957694267,1.5858171166477166,38.5,24.087142373453904,0.8338732346117134,0.987179487179487,3.8819944924555916
